Date,Stock Name,positive,negative,neutral,compound
4/24/22,TSLA,0.076,0.777,0.147,0.9994
4/25/22,TSLA,0.063,0.802,0.135,0.9999
4/26/22,TSLA,0.077,0.798,0.125,0.9998
4/27/22,TSLA,0.072,0.814,0.114,0.9995
4/28/22,TSLA,0.088,0.788,0.124,0.9994
4/29/22,TSLA,0.06,0.8,0.14,0.9999
4/30/22,TSLA,0.049,0.832,0.12,0.9992
5/1/22,TSLA,0.069,0.798,0.132,0.9991
5/2/22,TSLA,0.056,0.802,0.142,0.9998
5/3/22,TSLA,0.041,0.868,0.092,0.9975
5/4/22,TSLA,0.06,0.814,0.125,0.9995
5/5/22,TSLA,0.049,0.837,0.114,0.9996
5/6/22,TSLA,0.071,0.797,0.131,0.9996
5/7/22,TSLA,0.041,0.874,0.084,0.993
5/8/22,TSLA,0.068,0.823,0.108,0.9984
5/9/22,TSLA,0.078,0.804,0.118,0.9992
5/10/22,TSLA,0.078,0.805,0.117,0.9995
5/11/22,TSLA,0.104,0.778,0.117,0.9913
5/12/22,TSLA,0.08,0.797,0.123,0.9996
5/13/22,TSLA,0.067,0.812,0.121,0.9995
5/14/22,TSLA,0.084,0.78,0.136,0.9987
5/15/22,TSLA,0.062,0.85,0.088,0.9941
5/16/22,TSLA,0.083,0.82,0.096,0.9944
5/17/22,TSLA,0.091,0.794,0.114,0.9961
5/18/22,TSLA,0.092,0.803,0.105,0.9935
5/19/22,TSLA,0.089,0.805,0.106,0.9968
5/20/22,TSLA,0.085,0.779,0.137,0.9999
5/21/22,TSLA,0.111,0.778,0.111,-0.801
5/22/22,TSLA,0.078,0.828,0.094,0.9814
5/23/22,TSLA,0.082,0.805,0.113,0.9991
5/24/22,TSLA,0.071,0.818,0.111,0.9995
5/25/22,TSLA,0.089,0.806,0.105,0.9956
5/26/22,TSLA,0.039,0.848,0.113,0.9994
5/27/22,TSLA,0.067,0.808,0.125,0.9995
5/28/22,TSLA,0.044,0.808,0.148,0.9996
5/29/22,TSLA,0.04,0.849,0.111,0.9979
5/30/22,TSLA,0.044,0.879,0.077,0.993
5/31/22,TSLA,0.058,0.815,0.128,0.9992
6/1/22,TSLA,0.056,0.834,0.111,0.9991
6/2/22,TSLA,0.059,0.818,0.124,0.9998
6/3/22,TSLA,0.112,0.782,0.106,-0.9932
6/4/22,TSLA,0.08,0.791,0.129,0.9984
6/5/22,TSLA,0.091,0.811,0.098,0.8997
6/6/22,TSLA,0.085,0.81,0.104,0.9913
6/7/22,TSLA,0.09,0.797,0.113,0.9955
6/8/22,TSLA,0.07,0.809,0.121,0.9991
6/9/22,TSLA,0.044,0.827,0.129,0.9998
6/10/22,TSLA,0.059,0.797,0.144,0.9999
6/11/22,TSLA,0.064,0.823,0.114,0.997
6/12/22,TSLA,0.074,0.822,0.105,0.9857
6/13/22,TSLA,0.073,0.822,0.105,0.9985
6/14/22,TSLA,0.056,0.845,0.099,0.9984
6/15/22,TSLA,0.055,0.823,0.122,0.9995
6/16/22,TSLA,0.091,0.805,0.104,0.9852
